description,enrolmentkey,groupname
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,p2yvzw,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,cfm2e3,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,ttuww5,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,tw2m3p,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,gvlypl,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,y4tuff,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,usihxx,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,nk3tfl,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,v4vel8,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,v3s28e,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,a9i2cf,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,u15d19,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,rkmx71,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,wwefxf,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,t80afn,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,dfu94k,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,zh4bf1,&#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,k2chmn,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,xu85v7,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,55kkce,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; . &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,a6vl3n,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,vkcohe,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,j44t9u,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,s9cl8f,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,3uxmi6,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,0h2qkc,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,rzij9v,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,a2pswo,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,x1crm6,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; . &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,2hbbyf,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,qp6olw,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,442w49,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,h6fnfl,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,c3ggxx,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,20eahg,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;. &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
&#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,ndp0qq,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1057;&#1080;&#1084;&#1092;&#1077;&#1088;&#1086;&#1087;&#1086;&#1083;&#1100;
